Fechas,Llamadas
01/06/2020,19563
02/06/2020,19643
03/06/2020,20702
04/06/2020,19150
05/06/2020,20318
06/06/2020,15466
07/06/2020,9819
08/06/2020,18702
09/06/2020,18927
10/06/2020,18372
11/06/2020,17718
12/06/2020,18634
13/06/2020,15464
14/06/2020,10346
15/06/2020,19171
16/06/2020,19856
17/06/2020,19808
18/06/2020,18825
19/06/2020,20763
20/06/2020,16923
21/06/2020,10868
22/06/2020,19934
23/06/2020,20297
24/06/2020,19449
25/06/2020,19564
26/06/2020,19654
27/06/2020,16033
28/06/2020,10994
29/06/2020,20089
30/06/2020,21166
01/07/2020,20828
02/07/2020,21296
03/07/2020,21732
04/07/2020,14492
05/07/2020,9759
06/07/2020,20485
07/07/2020,21367
08/07/2020,20355
09/07/2020,20338
10/07/2020,20275
11/07/2020,16716
12/07/2020,11183
13/07/2020,20593
14/07/2020,20915
15/07/2020,20981
16/07/2020,20235
17/07/2020,20806
18/07/2020,16680
19/07/2020,11109
20/07/2020,20589
21/07/2020,21454
22/07/2020,20520
23/07/2020,19575
24/07/2020,20527
25/07/2020,16766
26/07/2020,11270
27/07/2020,21672
28/07/2020,21810
29/07/2020,21666
30/07/2020,21076
31/07/2020,20916
01/08/2020,16194
02/08/2020,11427
03/08/2020,23381
04/08/2020,23372
05/08/2020,22584
06/08/2020,20981
07/08/2020,22152
08/08/2020,18403
09/08/2020,12235
10/08/2020,21897
11/08/2020,22771
12/08/2020,21212
13/08/2020,21377
14/08/2020,24289
15/08/2020,19695
16/08/2020,13744
17/08/2020,24218
18/08/2020,23895
19/08/2020,24265
20/08/2020,24078
21/08/2020,22940
22/08/2020,18789
23/08/2020,12632
24/08/2020,22504
25/08/2020,23061
26/08/2020,22557
27/08/2020,21172
28/08/2020,22090
29/08/2020,17823
30/08/2020,12269
31/08/2020,21287
01/09/2020,24219
02/09/2020,22830
03/09/2020,22679
04/09/2020,23362
05/09/2020,19118
06/09/2020,12714
07/09/2020,17118
08/09/2020,21626
09/09/2020,21652
10/09/2020,21253
11/09/2020,21713
12/09/2020,17408
13/09/2020,12183
14/09/2020,21485
15/09/2020,21116
16/09/2020,19755
17/09/2020,20072
18/09/2020,19976
19/09/2020,16526
20/09/2020,11090
21/09/2020,19973
22/09/2020,20414
23/09/2020,19160
24/09/2020,18617
25/09/2020,19489
26/09/2020,16681
27/09/2020,11305
28/09/2020,20329
29/09/2020,20417
30/09/2020,18316
01/10/2020,19497
02/10/2020,20223
03/10/2020,16194
04/10/2020,11163
05/10/2020,19747
06/10/2020,19089
07/10/2020,17347
08/10/2020,16783
09/10/2020,17535
10/10/2020,14138
11/10/2020,9875
12/10/2020,15468
13/10/2020,17095
14/10/2020,17329
15/10/2020,17045
16/10/2020,17292
17/10/2020,14056
18/10/2020,9450
19/10/2020,16473
20/10/2020,17159
21/10/2020,16245
22/10/2020,15494
23/10/2020,16233
24/10/2020,13451
25/10/2020,9539
26/10/2020,16100
27/10/2020,16196
28/10/2020,15584
29/10/2020,14642
30/10/2020,16946
31/10/2020,13685
01/11/2020,9406
02/11/2020,16720
03/11/2020,17506
04/11/2020,16384
05/11/2020,16084
06/11/2020,16804
07/11/2020,13967
08/11/2020,8997
09/11/2020,16424
10/11/2020,16440
11/11/2020,15544
12/11/2020,17615
13/11/2020,17630
14/11/2020,13671
15/11/2020,9319
16/11/2020,16393
17/11/2020,16424
18/11/2020,15507
19/11/2020,15728
20/11/2020,15937
21/11/2020,13352
22/11/2020,9251
23/11/2020,15679
24/11/2020,15746
25/11/2020,15975
26/11/2020,10834
27/11/2020,13593
28/11/2020,12443
29/11/2020,8548
30/11/2020,15853
01/12/2020,17990
02/12/2020,17049
03/12/2020,17087
04/12/2020,17268
05/12/2020,14094
06/12/2020,9367
07/12/2020,16011
08/12/2020,15759
09/12/2020,15334
10/12/2020,14968
11/12/2020,15902
12/12/2020,12984
13/12/2020,8973
14/12/2020,15579
15/12/2020,16789
16/12/2020,16043
17/12/2020,15568
18/12/2020,16936
19/12/2020,15079
20/12/2020,10404
21/12/2020,18626
22/12/2020,20195
23/12/2020,22264
24/12/2020,21071
25/12/2020,7239
26/12/2020,11747
27/12/2020,9319
28/12/2020,17510
29/12/2020,18034
30/12/2020,18324
31/12/2020,17456
01/01/2021,8758
02/01/2021,12687
03/01/2021,9674
04/01/2021,17871
05/01/2021,18243
06/01/2021,16811
07/01/2021,15708
08/01/2021,15687
09/01/2021,12714
10/01/2021,8881
11/01/2021,15607
12/01/2021,15641
13/01/2021,14919
14/01/2021,14943
15/01/2021,15334
16/01/2021,12623
17/01/2021,8764
18/01/2021,13714
19/01/2021,15202
20/01/2021,14870
21/01/2021,15643
22/01/2021,15259
23/01/2021,12451
24/01/2021,8442
25/01/2021,15625
26/01/2021,15513
27/01/2021,15687
28/01/2021,15023
29/01/2021,15413
30/01/2021,13105
31/01/2021,9094
01/02/2021,15967
02/02/2021,16153
03/02/2021,16745
04/02/2021,16120
05/02/2021,16164
06/02/2021,13369
07/02/2021,8995
08/02/2021,14955
09/02/2021,16325
10/02/2021,15378
11/02/2021,15159
12/02/2021,15404
13/02/2021,12872
14/02/2021,8849
15/02/2021,13211
16/02/2021,14895
17/02/2021,15593
18/02/2021,15327
19/02/2021,15943
20/02/2021,13343
21/02/2021,9291
22/02/2021,15712
23/02/2021,16086
24/02/2021,16206
25/02/2021,15719
26/02/2021,16338
27/02/2021,13325
28/02/2021,9643
01/03/2021,17686
02/03/2021,17987
03/03/2021,17913
04/03/2021,17676
05/03/2021,17956
