Fechas,Llamadas
1/1/2022,414491
2/1/2022,380262
3/1/2022,465947
4/1/2022,417618
5/1/2022,370627
6/1/2022,384302
7/1/2022,365572
8/1/2022,361492
9/1/2022,358424
10/1/2022,348711
11/1/2022,313276
12/1/2022,342596
1/1/2023,305556
2/1/2023,271429
3/1/2023,309671
4/1/2023,270968
5/1/2023,276855
6/1/2023,279773
7/1/2023,264192
8/1/2023,272984
9/1/2023,260609
10/1/2023,262940
11/1/2023,250083
12/1/2023,270664
1/1/2024,247113
2/1/2024,240123
3/1/2024,257187
4/1/2024,258127
5/1/2024,250084
6/1/2024,239914
7/1/2024,246957
8/1/2024,272646
9/1/2024,302086
10/1/2024,335832
11/1/2024,292095
12/1/2024,317823
1/1/2025,278378
2/1/2025,241564
