Fechas,Llamadas
1/1/2022,62098
2/1/2022,85826
3/1/2022,96769
4/1/2022,99414
5/1/2022,102960
6/1/2022,98271
7/1/2022,102626
8/1/2022,97624
9/1/2022,95256
10/1/2022,102921
11/1/2022,81542
12/1/2022,90176
1/1/2023,77620
2/1/2023,75578
3/1/2023,90885
4/1/2023,89234
5/1/2023,97559
6/1/2023,96440
7/1/2023,98159
8/1/2023,91059
9/1/2023,93437
10/1/2023,95768
11/1/2023,79027
12/1/2023,90163
1/1/2024,74449
2/1/2024,74768
3/1/2024,85131
4/1/2024,87690
5/1/2024,86645
6/1/2024,103195
7/1/2024,80995
8/1/2024,86773
9/1/2024,74689
10/1/2024,77571
11/1/2024,73452
12/1/2024,63334
1/1/2025,53570
2/1/2025,51844
