Fechas,Llamadas
2020-03-03,21034.919374267058
2020-03-04,20968.698373417803
2020-03-05,20656.355856036258
2020-03-06,20548.67348827209
2020-03-07,17197.800266639915
2020-03-08,12364.594174985323
2020-03-09,20119.600656904582
2020-03-10,20855.997404486046
2020-03-11,20447.957395462927
2020-03-12,19990.487902012123
2020-03-13,20031.117626964184
2020-03-14,17066.634681024632
2020-03-15,12658.729706700178
2020-03-16,20668.235531670136
2020-03-17,21415.97767598969
2020-03-18,20874.777496261137
2020-03-19,20300.953288153745
2020-03-20,20315.73121566096
2020-03-21,17344.996465786426
2020-03-22,12817.079669583396
2020-03-23,20535.272514080116
2020-03-24,20902.558425520292
2020-03-25,20048.113414013904
2020-03-26,19332.278511192442
2020-03-27,19361.63164221992
2020-03-28,16478.656031273447
2020-03-29,12065.66184672627
2020-03-30,19966.966247445172
2020-03-31,20654.915128452492
2020-04-01,20249.624196354034
2020-04-02,19981.23101051859
2020-04-03,20278.08560011592
2020-04-04,17383.936371588738
2020-04-05,12727.61597579373
2020-04-06,20291.102786577732
2020-04-07,20657.66510118095
2020-04-08,19964.593425352406
2020-04-09,19409.223993406984
2020-04-10,19437.68074949915
2020-04-11,16405.474228566007
2020-04-12,11874.833029811649
2020-04-13,19854.358942052055
2020-04-14,20787.532743485343
2020-04-15,20583.920733237075
2020-04-16,20283.976593140073
2020-04-17,20350.529610949383
2020-04-18,17286.588038288624
2020-04-19,12785.518119661145
2020-04-20,20853.389855348505
2020-04-21,21813.03963991222
2020-04-22,21461.86136207311
2020-04-23,20851.80120905218
2020-04-24,20578.864345031598
2020-04-25,17290.28470489114
2020-04-26,12724.719367771058
2020-04-27,20826.84004468267
2020-04-28,21842.841984843235
2020-04-29,21568.854144954326
2020-04-30,21125.738493936795
2020-05-01,21152.51944611409
2020-05-02,18226.11221550363
2020-05-03,13917.378828558998
2020-05-04,22019.642807964556
2020-05-05,22754.201412276063
2020-05-06,22024.662345958597
2020-05-07,21092.543022194324
2020-05-08,20664.760286968867
2020-05-09,17301.248992944205
2020-05-10,12556.133073896879
2020-05-11,20291.61103633628
2020-05-12,20869.05738316449
2020-05-13,20288.86155751765
2020-05-14,19756.999546588508
2020-05-15,19780.829900574536
2020-05-16,16709.98180291437
2020-05-17,12025.443540167671
2020-05-18,19687.102962104298
2020-05-19,20216.52881993379
2020-05-20,19686.554009104148
2020-05-21,19230.88322298922
2020-05-22,19222.05714407917
2020-05-23,15950.64294969021
2020-05-24,10978.230598044529
2020-05-25,18419.499326469882
2020-05-26,18898.498869575866
2020-05-27,18471.921891663773
2020-05-28,18188.656326604105
2020-05-29,18373.910906290315
2020-05-30,15358.094390672393
2020-05-31,10771.12490401355
2020-06-01,18717.755900948818
2020-06-02,19691.153068588435
2020-06-03,19569.298071741134
2020-06-04,19302.067155755998
2020-06-05,19261.1256255656
2020-06-06,15914.689055076544
2020-06-07,11003.951378342816
2020-06-08,18651.39413803287
2020-06-09,19318.12282297263
2020-06-10,18900.806017792504
2020-06-11,18462.147392106737
2020-06-12,18508.40294511098
2020-06-13,15535.710219884688
2020-06-14,11146.850074045602
2020-06-15,19238.000560243338
2020-06-16,20114.82092961638
2020-06-17,19692.10595243941
2020-06-18,19181.43160529735
2020-06-19,19221.49007554177
2020-06-20,16307.081478552567
2020-06-21,11921.406642704856
2020-06-22,19849.38264780802
2020-06-23,20408.900314539034
2020-06-24,19648.48144485373
2020-06-25,18924.27970602626
2020-06-26,18920.424314065494
2020-06-27,16070.25554868283
2020-06-28,11780.0666755417
2020-06-29,19833.0461501354
2020-06-30,20615.351749519737
2020-07-01,20217.70695784219
2020-07-02,19924.98064280111
2020-07-03,20252.41594597451
2020-07-04,17480.8153065879
2020-07-05,12990.31410344993
2020-07-06,20670.279142602576
2020-07-07,21046.213084647417
2020-07-08,20275.44127562979
2020-07-09,19624.610841484926
2020-07-10,19591.06212970356
2020-07-11,16523.40961739262
2020-07-12,11940.926757706762
2020-07-13,19828.965105409836
2020-07-14,20656.845411653117
2020-07-15,20381.860647384514
2020-07-16,20060.049834779507
2020-07-17,20115.487369983246
2020-07-18,16994.514663596095
2020-07-19,12376.796108160244
2020-07-20,20320.469463512443
2020-07-21,21223.05610462857
2020-07-22,20907.61202133492
2020-07-23,20371.78119925324
2020-07-24,20120.96789020803
2020-07-25,16757.06820074471
2020-07-26,12062.999431099837
2020-07-27,20081.513521729306
2020-07-28,21126.027071291875
2020-07-29,20972.910711053184
2020-07-30,20660.210928764973
2020-07-31,20762.11841978251
2020-08-01,17870.94602493112
2020-08-02,13638.944902901974
2020-08-03,21930.24500277398
